id,query,label
1,1. Can I get a list of all flights from Chicago to Atlanta today?,Flight_info
2,2. What's the latest update on flight schedules for United Airlines?,Airline
3,3. Are there any direct flights from New York to Los Angeles on Saturday?,Flight_Status
4,4. Show me the flight options from Boston to San Francisco with one stop.,Flight_info
5,5. How many flights are available from Denver to Las Vegas tomorrow?,Flight_info
6,6. What's the cost of a business class ticket from Paris to Tokyo?,Airfare
7,7. Can I get the cheapest fare for flights from Miami to New York on short notice?,Airfare
8,8. How much does it cost to upgrade to first class on a flight from London to New York?,Airfare
9,9. Are there any discounts available for students or seniors on domestic flights?,oos (out of scope)
10,10. What's the price difference between a morning and afternoon flight from Chicago to Los Angeles?,Flight_info
11,11. Which airline has the best in-flight entertainment system?,oos (out of scope)
12,12. Can I get a refund if my flight is cancelled due to mechanical issues?,oos (out of scope)
13,13. How do I contact American Airlines customer service for assistance?,Booking_&_Reservation
14,14. Are there any special perks or rewards programs for loyalty members on Delta Air Lines?,oos (out of scope)
15,15. What's the baggage policy for Lufthansa flights?,Luggage_Handling
16,16. When does the next flight from JFK to LAX depart and arrive?,Flight_Status
17,17. Is my flight delayed due to bad weather in Chicago?,Weather
18,18. Can I track the status of my flight using your app?,oos (out of scope)
19,19. Are there any cancellations or delays on flights from Atlanta to New York today?,Flight_Status
20,20. What's the estimated arrival time for a flight that departed an hour ago?,Flight_Status
21,21. Does Korean Air offer vegan meal options on long-haul flights?,Flight_meal
22,22. Can I request a special meal for my infant on a flight from Los Angeles to Sydney?,Flight_meal
23,23. Are there any free snacks or meals available on budget airline flights?,oos (out of scope)
24,24. How do I order a meal upgrade on a flight from London to New York?,Flight_meal
25,25. What's the selection of vegetarian options on in-flight menus?,Flight_meal
26,26. Are there any seats left on the next flight from Denver to Orlando?,class_seat_inquary
27,27. Can I book a seat with extra legroom for my family?,Booking_&_Reservation
28,28. How many seats are available in economy class on flights from Chicago to Atlanta?,Flight_info
29,29. Is it possible to book a same-day return ticket online?,oos (out of scope)
30,30. What's the policy on refunds for unused tickets?,oos (out of scope)
31,31. Can I use multiple credit cards to pay for a single ticket?,Booking_&_Reservation
32,32. How do I contact customer service for assistance with booking?,Booking_&_Reservation
33,33. What's the fare for a taxi from JFK Airport to Midtown Manhattan?,oos (out of scope)
34,34. Can I book a shared shuttle service from LAX to Los Angeles?,oos (out of scope)
35,35. How much does it cost to rent a car at the airport?,oos (out of scope)
36,36. Are there any discounts available for travel between airports in one day?,oos (out of scope)
37,37. What's the price of a bus ticket from Chicago O'Hare to downtown Chicago?,oos (out of scope)
38,38. Is there free Wi-Fi available throughout the airport?,oos (out of scope)
39,39. Can I get a wheelchair or scooter rental at the airport?,oos (out of scope)
40,40. Where is the nearest ATM or currency exchange machine in the terminal?,oos (out of scope)
41,41. Are there any restaurants or cafes open 24 hours a day in the airport?,oos (out of scope)
42,42. How do I access the airport lounge for an extra fee?,oos (out of scope)
